"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"3","3","Angry Rabble","spm","Near Mint","English","","","2026-09-10 00:13:02.787000","75","False","False","0.10"
"1","1","Animist's Awakening","c20","Near Mint","English","","","2026-09-10 00:13:02.787000","166","False","False","4.78"
"2","2","Ant-Man, Colony Commander","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","201","False","False","0.30"
"2","2","Ant-Man, Colony Commander","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","201","False","False","0.16"
"1","1","Ant-Man, Elusive Avenger","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","73","False","False","2.65"
"3","3","Ant-Man's Army","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","161","False","False","0.09"
"2","2","Ant-Man's Army","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","161","False","False","0.23"
"1","1","Appa, Loyal Sky Bison","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","9","False","False","0.23"
"1","1","Appa, Loyal Sky Bison","tla","Near Mint","English","foil","","2026-09-10 00:13:02.787000","9","False","False","0.61"
"3","3","Appeal to Eirdu","ecl","Near Mint","English","","","2026-09-10 00:13:02.787000","5","False","False","0.04"
"2","2","Appeal to Eirdu","ecl","Near Mint","English","foil","","2026-09-10 00:13:02.787000","5","False","False","0.06"
"1","1","April O'Neil, Live on the Scene","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","9","False","False","0.25"
"2","2","Aquitect's Defenses","ecl","Near Mint","English","","","2026-09-10 00:13:02.787000","44","False","False","0.15"
"1","1","Aquitect's Defenses","ecl","Near Mint","English","foil","","2026-09-10 00:13:02.787000","44","False","False","0.18"
"1","1","Arachne, Psionic Weaver","spm","Near Mint","English","","","2026-09-10 00:13:02.787000","2","False","False","0.32"
"1","1","Aragorn, Company Leader","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","191","False","False","0.31"
"1","1","Aragorn, King of Gondor","ltc","Near Mint","English","foil","","2026-09-10 00:13:02.787000","5","False","False","0.54"
"1","1","Aragorn, the Uniter","hoc","Near Mint","English","foil","","2026-09-10 00:13:02.787000","29","False","False","10.61"
"1","1","Araña, Heart of the Spider","spm","Near Mint","English","","","2026-09-10 00:13:02.787000","123","False","False","0.63"
"1","1","Arcade Cabinet","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","36","False","False","0.44"
"1","1","Arcane Denial","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","147","False","False","3.54"
"1","1","Arcane Signet","ecc","Near Mint","English","","","2026-09-10 00:13:02.787000","56","False","False","0.49"
"1","1","Arcane Signet","soc","Near Mint","English","","","2026-09-10 00:13:02.787000","127","False","False","0.37"
"1","1","Arcane Signet","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","57","False","False","0.56"
"1","1","Arcane Signet","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","333","False","False","0.53"
"1","1","Arcane Signet","msc","Near Mint","English","","","2026-09-10 00:13:02.787000","191","False","False","0.89"
"1","1","Arcane Signet","ltc","Near Mint","English","","","2026-09-10 00:13:02.787000","273","False","False","0.50"
"1","1","Archfiend of Ifnir","ecc","Near Mint","English","","","2026-09-10 00:13:02.787000","70","False","False","0.36"
"1","1","Archivist of Gondor","ltc","Near Mint","English","","","2026-09-10 00:13:02.787000","18","False","False","0.22"
"1","1","Arena of Glory","mh3","Near Mint","English","","","2026-09-10 00:13:02.787000","215","False","False","9.92"
"1","1","Ares, God of War","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","202","False","False","0.30"
"1","1","Armed Assailant","msc","Near Mint","English","foil","","2026-09-10 00:13:02.787000","647","False","False","0.22"
"1","1","Armory Automaton","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","336","False","False","0.25"
"2","2","Arnim Zola, Bio-Fanatic","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","319","False","False","0.24"
"2","2","Artistic Process","sos","Near Mint","English","","","2026-09-10 00:13:02.787000","108","False","False","0.14"
"2","2","Arwen Undómiel","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","194","False","False","0.24"
"1","1","Arwen, Mortal Queen","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","193","False","False","6.77"
"1","1","Arwen, Mortal Queen","hoc","Near Mint","English","","","2026-09-10 00:13:02.787000","30","False","False","6.46"
"1","1","Arwen's Gift","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","39","False","False","0.21"
"1","1","Ascendant Dustspeaker","sos","Near Mint","English","","","2026-09-10 00:13:02.787000","8","False","False","0.07"
"1","1","Asgardian Citadel","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","258","False","False","0.13"
"2","2","Asgardian Citadel","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","258","False","False","0.29"
"1","1","Asgardian Inspiration","msc","Near Mint","English","foil","","2026-09-10 00:13:02.787000","678","False","False","3.01"
"1","1","Ash Barrens","fic","Near Mint","English","","","2026-09-10 00:13:02.787000","374","False","False","0.22"
"1","1","Ash Barrens","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","60","False","False","0.35"
"1","1","Ashe, Princess of Dalmasca","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","7","False","False","0.13"
"1","1","Ashling, Rekindled // Ashling, Rimebound","ecl","Near Mint","English","","","2026-09-10 00:13:02.787000","124","False","False","1.68"
"1","1","Assassin's Trophy","ecc","Near Mint","English","","","2026-09-10 00:13:02.787000","119","False","False","0.94"
"1","1","Assassin's Trophy","tmc","Near Mint","English","","","2026-09-10 00:13:02.787000","55","False","False","0.86"
"1","1","Assault on Osgiliath","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","285","False","False","0.60"
"2","2","Assert Perfection","ecl","Near Mint","English","","","2026-09-10 00:13:02.787000","164","False","False","0.12"
"1","1","Astral Cornucopia","eoc","Near Mint","English","","","2026-09-10 00:13:02.787000","131","False","False","0.26"
"1","1","Astrologian's Planisphere","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","46","False","False","0.29"
"3","3","Atlantean Cavalry","msh","Near Mint","English","","","2026-09-10 00:13:02.787000","45","False","False","0.08"
"1","1","Atlantean Cavalry","msh","Near Mint","English","foil","","2026-09-10 00:13:02.787000","45","False","False","0.24"
